customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
b2d1536598b73a9abd18e0d75d92f0a3,918dc87cd72cd9f6ed4bd442ed785235,18682,lencois paulista,SP
6e359a57a91f84095cc64e1b351aef8c,2e6a42a9b5cbb0da62988694f18ee295,4571,sao paulo,SP
b2bed119388167a954382cca36c4777f,e079b18794454de9d2be5c12b4392294,27525,resende,RJ
c168abb9077b7821adae01dc1f0886c5,5ad58a4e6a1a656b6bed070cadbaa003,35960,santa barbara,MG
df85b96ba2ce3e49bde101b1614f52ac,8d46223c91cbeb93e0930ca8bd8ffca2,83085,sao jose dos pinhais,PR
4d27341acd30a36bca39008ee9bb9050,e021e698833bdeb89dfef3acb2e91f37,89254,jaragua do sul,SC
cc32707d2e2f7c92ab449f9b28154809,0d516ca029d6a28d5cfddd80b27a26dc,22440,rio de janeiro,RJ
a02f66c3af7b16eec19ddcd98b645fe3,b3548d0cec408ae13d143bb4eeebaa6c,13323,salto,SP
f64cdee66599119324ce57a97e43700d,d89e05e2d23c3d8247aeecd07758004b,13212,jundiai,SP
b514422efcf14bef34858a0829bef189,b436a108536c1dabbc1d3e808d782df9,24431,sao goncalo,RJ
38d1cd89306128348ffdf4cc23f3a50a,d491a65a6ef3c04e145d37395996bad7,4548,sao paulo,SP
ea2196dc456ba36fe4f6b81dca4867d4,4a4de987b37555970ffcc9608d858a72,44033,feira de santana,BA
a1b9e0e44dbb043645cd14b00849a705,eab761ccdba80c5b9a7f01b16543da0f,4105,sao paulo,SP
39c9dc82d5f60eb1ee8bc4fe4aa29dc6,1f6d48610f32c723924f9af3e88f1c64,2209,sao paulo,SP
70a8cfb1730fd53e5c15f2a62e1e5448,29f61e71b90b55a988f45a66bb91bfb7,6382,carapicuiba,SP
b0964d76975dbc174b623b5a300973d5,24a5c2b24a4467c37e2f54c1b311de93,86990,marialva,PR
66cc929741c3d1d277e05b4540bf9a8c,1bdff446efb5846d0969eaf8978d4342,15015,sao jose do rio preto,SP
53b6d45cb9684a4b93e0ba2030222456,5d348bbc0f1a5cc45c3e4b93b8c9f802,24431,sao goncalo,RJ
faafae37ddb3e4af81c10a397bcca35f,1a7a10e9273fca58179bdd0d40843b0c,7243,guarulhos,SP
acca74d2a60c03b46a5256c02cef9244,f34cd7fd85a1f8baff886edf09567be3,89120,timbo,SC
cb96e80748675729d4d3857321cacb26,67626c49069bdf05ff127d59a6649948,88348,camboriu,SC
dc0a596a36f033e89eeecbbbaa5603e9,8dfb24fac32ec7170821d2be63fa9c1c,37701,pocos de caldas,MG
3469ebe2f9aa5e08f1a85ecf20b549e0,755bdc2822a8f01cfcec19ae4dcaae66,5590,sao paulo,SP
bd30c8ec7f7139af7195e1f7f031e131,237c219a24b6a3183a216a5ca00f6edf,89031,blumenau,SC
eee74b2a9aa0989243d2793c1a90fbf6,a40096fc0a3862e9e12bc55b5f8e6ab2,20561,rio de janeiro,RJ
1681471e9172d7e12ba08e9ac9e8628b,84032c13e75382a35c99ae73156b30b9,20250,rio de janeiro,RJ
e3c7e245a96d7fa339fe6c16f8da4e90,79051ee5ee98c4bd6982e67e2e79dbcb,7847,franco da rocha,SP
2b3d8be4fa506df40afbeba026df7e70,9cea402fce863ec4bee5af27306e213d,36200,barbacena,MG
91ef77a365c213f04954c1527081b016,0d8f0706c0d71cb8f6d957dad3023fc2,70770,brasilia,DF
101a5d44d7659f8b2ec49d385d80a1ed,29ea68ebb3474676eee3322428dcb0af,35171,coronel fabriciano,MG
a56b03f5e6015f1a502b9810309b98b7,b6cbe1a8674ee23e9fb086e3c61677b8,41308,salvador,BA
7569ea856f1959d0371e70135efb6df7,316d6ccdf24ac783b5e4ccdff8506af9,27265,volta redonda,RJ
872a25f014b99c4c17341cd9ad0d468f,636f22218f8430a8463c5ddc5f68fc62,14802,araraquara,SP
c0fe0fbc24994167dce810f83cb96890,839bbfd4ff93b592c82a44dcaa9515c3,30330,belo horizonte,MG
8a3083e3f5500b50d6f4f3003604df87,ad1ba362b0121447945a47fe07fef188,37950,sao sebastiao do paraiso,MG
a4a00c41b5e3ed88bf0e0bb96576c2b2,94e89532396b3c02f648b2bc7f93f528,26115,belford roxo,RJ
2b6d4b2b966c8aa7413190f4b5dee130,2ee1f65b4197b8eb29826c06b876ba67,23820,itaguai,RJ
ada5afd2b1b1258fd60f507e92a63472,fbd58f38cbd2989e434b148f479534c8,35774,paraopeba,MG
b069a3c6dd74a018f34884bbcd0cf0e2,cbc73c75d15c7292a3defd556c710b2a,88370,navegantes,SC
ecb1725b26e8b8c458181455dfa434ea,b55a113bb84fc10eaf58c6d09ec69794,72300,brasilia,DF
082805d32249e17183cfb56ccb67b5cf,339f6d44a550afdaf2a4a9a29d091d16,2230,sao paulo,SP
7077cffa9bdf93c44da47143517b6a7b,04b718d93b254329e7dbdbe026e85301,38400,uberlandia,MG
075ad0fda24dab7269482d16b193c87d,483ccebb9c42ae89d35740fadc153835,1424,sao paulo,SP
3d14c748bab7ae77e8dff7a9efb1bd38,c1c7632732a487b1221e7bfb627c575f,24220,niteroi,RJ
0b87eea12c9bc8ae36b6e4c551f4770e,945a0478f858996b861b5c9b1905e56c,22451,rio de janeiro,RJ
6e99b4a37b2d5aa40cb85bdfcf9dc0eb,2a914bdfae6c0cc612a51e479acc0128,11065,santos,SP
35b6b3b06cd4b2101cfabfb5429dc028,05105abc98016eb044d450d5e60de1b2,24060,niteroi,RJ
7d1dd3c96c21c803f7a1a32aa8d9feb9,729e9d3fa93475add3ea25424e83e1ad,2559,sao paulo,SP
4374a2a34bb261daa66f8c87672c2d54,937f16b584dd395ce455ef468322b27f,30575,belo horizonte,MG
302025f399c7405c509a297b6b9a1e73,7bf1c59401206e31a78523077f3a1144,6765,taboao da serra,SP
0b367775717574e7412c7b73c8bde1e9,759d68713a15c3b9a52b377694b94efd,24230,niteroi,RJ
240f2bd361ee42f7570caf78cd615dc3,f6ce59662fa24ba7ccc289430b580a7e,9250,santo andre,SP
a1674724305cdde2e900f8f50583f764,dd8c586651f9232e473ad86cf89c143f,28999,saquarema,RJ
d8c7a6e8f9e10ebb4c1fd2d31ffd485b,8fd232dc0c1648e549e2811728f6076d,13160,artur nogueira,SP
39592999581de2960ceaab403add3205,3d7fb21a86fa49b9dce2ac0814d6dc22,35430,ponte nova,MG
595cf86a8e2928ebab3f60b9161fca89,cff66352965782fb7a921a07600f271f,28250,italva,RJ
50bf56304211dfe00c06f3eef86f49fa,341239d242c4e123125d42e14b7132b6,97030,santa maria,RS
2173c184771a8a19f6fc87d8b3dea9e0,5e65571d0f33dc17c099484ae3f25a4a,88054,florianopolis,SC
6d699e3ab0fd90fffb3d1379d937de77,0b3dc7efaafb0cf78a4796d42fa8d74c,22410,rio de janeiro,RJ
48ed31e735f1c420ed6ca3637b7c744d,55a269f324455e78349e7b9b7e7e5911,8072,sao paulo,SP
5fdc897ca5f1dfbeecfb4f55ceccd011,fa2b68fd80b323901db1473bb98ad68f,73808,formosa,GO
8d13b315c8e8e3d9011c9e9267cb8a70,63df651d5e8adb6a0e4baeb66a0eea37,16202,birigui,SP
a842a362a7fd195daa06e2d9ba915df8,40c4c308279011b2e5b85c75579f415d,24750,sao goncalo,RJ
8dca32263f9981caeed36ea29320bbda,dbfd0ee98fac0d9b4f109a2aaed48093,20270,rio de janeiro,RJ
21ff3e20f59960be865825e412190684,9e1a43ff4b344d86253ffc4afe5fb870,23059,rio de janeiro,RJ
4cd274ce8ba240b1cff6480fa9911df1,01daeb09de8f07882ccd4319ffbc4693,9415,ribeirao pires,SP
24867a30fb114e68f333a0645f923497,2ca8ef8560c5cd0f9ddb65d1b1b51380,51030,recife,PE
e012ec724eb09748bfe4dc58facabfff,5ade76c1b8598f4752607e46984950d5,22780,rio de janeiro,RJ
a8d7167182ac070d269d752eb692b1db,fe78f9a2d0726d03ff9fc4307d3fa5df,35660,para de minas,MG
3d32aac5bce2d5bde5b0645ef8b319bc,d6caf670c8bf91aed723f242cafb71c8,29305,cachoeiro de itapemirim,ES
74a7d1d3922d5c9d87683edf0be614f6,f8945c1122a948f727f6cc5f56f02532,9030,santo andre,SP
34438889b551b701f2b8479aefa43c71,4af9d92576710a7d35603adfdff67acf,18900,santa cruz do rio pardo,SP
7f4f07b97783e894fccff9d72e0988b3,293c9db44b6588c4e52fbef455fccde8,88085,florianopolis,SC
5ad934ace4646e3dad70148a823eb138,795ec127906a9e161109399a70f5826d,39480,januaria,MG
38c7187bbd781f3cb903117648bfa3ca,a72a2d4e19868dba726c0e6f49198c7e,76105,firminopolis,GO
60e7ad191809c84e2fa3c164e1a5b948,373f58d5685e5d041b9fb63c7c580593,13733,mococa,SP
06703b3d47c703a3e163cd1769c2c53e,8f3eef80fef6d26aca45231210bcfe63,89900,sao miguel do oeste,SC
4f75899b8f7b903d7295eb12dcedb330,bc6839208cb211872c9e1909676cbd0a,5021,sao paulo,SP
2be831e199cd5308b6e3ab6f36718526,f152faf30f85d9b5784cc9a72611a810,11310,sao vicente,SP
7c842c2505f4d3650b86f949b1bb456f,bc186285d21adeb7b7c88af5e40665cb,55570,rio formoso,PE
358c19bbbb97654500cc288498104566,f3df2c0b7cf3814b81b37ff6273f76cd,71250,brasilia,DF
